x y1 y2
1 0.009782914 0.023112508
2 0.030316698 0.054186076
3 0.0487413 0.087694184
4 0.064439189 0.116156201
5 0.085625877 0.133590732
6 0.104859377 0.153809767
7 0.124288774 0.164103994
8 0.143272867 0.184038713
9 0.157799951 0.197126677
10 0.175337364 0.212475372
11 0.200778559 0.215820242
12 0.215782514 0.223421194
13 0.227019029 0.228116374
14 0.253902926 0.235309039
15 0.267069787 0.251775014
16 0.284878747 0.256391391
17 0.294467638 0.264260237
18 0.303404218 0.273014102
19 0.320031351 0.271619591
20 0.328948671 0.271228323
21 0.332920115 0.266299694
22 0.346355564 0.267228264
23 0.349601209 0.266568779
24 0.355399586 0.270351716
25 0.351719733 0.26695859
26 0.361978051 0.263011546
27 0.364984288 0.264205747
28 0.369971465 0.265260223
29 0.367759431 0.264517841
30 0.368687164 0.265821046
31 0.378709373 0.265392894
32 0.380319325 0.26814089
33 0.382229205 0.26677207
34 0.387729672 0.268235673
35 0.388609195 0.272993722
36 0.38932491 0.27193552
37 0.387036021 0.271335968
38 0.391342835 0.269599783
39 0.397607992 0.269100207
