x y1 y2
1 315 620.3333333
2 336.3333333 620.6666667
3 386 680.6666667
4 428.0833333 656.1666667
5 421 674
6 434.6111111 666.0555556
7 430.3809524 618
8 433.9166667 631.3333333
9 408.8148148 646.4444444
10 414.6 612.9
11 406.3636364 552.5757576
12 401.5555556 524.1944444
13 410.7948718 511.2820513
14 405.9047619 516.7142857
15 387.3555556 503.7111111
16 371.7916667 484.9791667
17 376.4705882 452.372549
18 382.5925926 474.1111111
19 370.877193 448.9649123
20 364.0666667 424.8
21 350 401.4285714
22 343.2121212 384.1818182
23 335.1449275 367.8695652
24 332.1111111 351.5416667
25 307.52 331.28
26 307.6282051 310.8589744
27 299.5308642 303.1481481
28 297.8095238 289.702381
29 287.3103448 282.4022989
30 275.2340502 274.2555556
31 280.344086 266.1075269
32 271.5833333 258.28125
33 269.5252525 248.3838384
34 264.7647059 244.1470588
35 258.8857143 248.2666667
36 252.1851852 240.9166667
37 247.0630631 233.3243243
38 243.9912281 223.6578947
39 240.1452991 219.2136752
