x  y1  y2
1  0.016678722  0.041132111
2  0.053244565  0.111228025
3  0.078209903  0.160555711
4  0.109957001  0.190310632
5  0.133509568  0.223262593
6  0.157201359  0.25419164
7  0.181480046  0.266822621
8  0.201253429  0.295541428
9  0.212467391  0.343174413
10  0.223414277  0.369391889
11  0.253617456  0.380846447
12  0.273549787  0.390624529
13  0.295811228  0.390624529
14  0.303208908  0.392215552
15  0.31498884  0.393302656
16  0.320632812  0.393302656
17  0.331967997  0.393528527
18  0.342064707  0.396323291
19  0.354653116  0.397234873
20  0.367449126  0.402446769
21  0.379559708  0.405584336
22  0.384873601  0.412220975
23  0.387588889  0.412220975
24  0.391646032  0.417701787
25  0.39300769  0.417701787
26  0.402140536  0.421094198
27  0.403122172  0.421094198
28  0.405725729  0.433789645
29  0.4115192  0.440254532
30  0.414645019  0.445561071
31  0.415268042  0.445561071
32  0.415268042  0.445561071
33  0.420378543  0.452545375
34  0.420378543  0.460676753
35  0.422885622  0.464623224
36  0.422885622  0.464623224
37  0.424170999  0.464623224
38  0.424170999  0.472612879
39  0.424419352  0.472612879
