x,y1,y2
1,459.6666667,957.3333333
2,527.8333333,1034.166667
3,467.4444444,958.3333333
4,493.5833333,936.8333333
5,499.6666667,836.5333333
6,514.3333333,779
7,500.0952381,744.4761905
8,486.2916667,715.5416667
9,470.7407407,814.1481481
10,461.5666667,780.9666667
11,460.5757576,730.4242424
12,458.9444444,680.1666667
13,446.0769231,625.025641
14,416.9047619,582.4285714
15,417.3111111,542.6222222
16,410.1458333,511.375
17,398.745098,485.9411765
18,391.1666667,458.8518519
19,391.5614035,438.7192982
20,382.5,427.5166667
21,369.7777778,412.8095238
22,362.9848485,409.5454545
23,353.9130435,390.6086957
24,337.4444444,380.9305556
25,326.5733333,370.1733333
26,319.2051282,359.8076923
27,308.8148148,344.9012346
28,305.8452381,355.0595238
29,298.1034483,354.5057471
30,289.7666667,347.6111111
31,281.9032258,337.0430108
32,273.8020833,326.0520833
33,268.0505051,330.030303
34,258.372549,332.2058824
35,255.0095238,327.5238095
36,250.4814815,318.5092593
37,245.3603604,308.6846847
38,234.3070175,315.0877193
39,230.6410256,306.2051282
